Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
448.0,MAPMYINDIA,C.E. Info Systems Limited,1007847.7470539999
449.0,ROUTE,ROUTE MOBILE LIMITED,1006029.25397
450.0,CANFINHOME,Can Fin Homes Limited,1002583.9841875
451.0,CUB,City Union Bank Limited,1001018.0782560001
452.0,SAPPHIRE,Sapphire Foods India Limited,999490.4348319999
453.0,CAPLIPOINT,Caplin Point Laboratories Limited,998899.756011
454.0,MINDACORP,Minda Corporation Limited,998634.7707560001
455.0,MMTC,MMTC Limited,996750
456.0,PTCIL,PTC Industries Limited,995631.984852
457.0,IFCI,IFCI Limited,987131.8966795
458.0,PRAJIND,Praj Industries Limited,979631.852496
459.0,VOLTAMP,Voltamp Transformers Limited,978421.61664
460.0,SCI,Shipping Corporation Of India Limited,972588.33288
461.0,USHAMART,Usha Martin Limited,969840.71485
462.0,EIDPARRY,EID Parry India Limited,968713.4940869999
463.0,RTNINDIA,RattanIndia Enterprises Limited,956530.557664
464.0,ANURAS,Anupam Rasayan India Limited,955631.331732
465.0,GLS,Glenmark Life Sciences Limited,951607.2813380001
466.0,DOMS,DOMS Industries Limited,950210.39767
467.0,INFIBEAM,Infibeam Avenues Limited,947425.836126
468.0,FORCEMOT,FORCE MOTORS LTD,944104.29016
469.0,ZYDUSWELL,Zydus Wellness Limited,938955.9168639999
470.0,STARCEMENT,Star Cement Limited,938482.1826735
471.0,GODREJAGRO,Godrej Agrovet Limited,936066.89794
472.0,TTKPRESTIG,TTK Prestige Limited,930515.91626
473.0,ALKYLAMINE,Alkyl Amines Chemicals Limited,927308.6176410001
474.0,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,918526.2094330001
475.0,KPIGREEN,KPI Green Energy Limited,918104.11984
476.0,CRAFTSMAN,Craftsman Automation Limited,911665.491339
477.0,MAHLIFE,Mahindra Lifespace Developers Limited,909585.648792
478.0,REDTAPE,Redtape Limited,909299.40105
479.0,JUBLPHARMA,Jubilant Pharmova Limited,907743.2111610001
480.0,NETWEB,Netweb Technologies India Limited,906165.8769019999
481.0,NETWORK18,Network18 Media & Investments Limited,902469.623378
482.0,PRSMJOHNSN,Prism Johnson Limited,898994.85188
483.0,METROPOLIS,Metropolis Healthcare Limited,882946.1761960001
484.0,CERA,Cera Sanitaryware Limited,882123.40405
485.0,SBFC,SBFC Finance Limited,878290.3792960001
486.0,GRSE,Garden Reach Shipbuilders & Engineers Limited,875979.144
487.0,KIRLOSBROS,Kirloskar Brothers Limited,869567.444163
488.0,UJJIVANSFB,Ujjivan Small Finance Bank Limited,867732.131268
489.0,SHRIPISTON,Shriram Pistons & Rings Limited,863662.874256
490.0,RENUKA,Shree Renuka Sugars Limited,845010.4398810001
491.0,RATEGAIN,Rategain Travel Technologies Limited,844618.760318
492.0,WOCKPHARMA,Wockhardt Limited,844086.0824610001
493.0,SAFARI,Safari Industries (India) Limited,841600.195605
494.0,HAPPYFORGE,Happy Forgings Limited,838235.0400360001
495.0,TECHNOE,Techno Electric & Engineering Company Limited,830549.7791325
496.0,SHOPERSTOP,Shoppers Stop Limited,830118.70235
497.0,IBULHSGFIN,Indiabulls Housing Finance Limited,828798.447807
498.0,SYRMA,Syrma SGS Technology Limited,826480.966974
499.0,TEGA,Tega Industries Limited,825771.991212
500.0,ACI,Archean Chemical Industries Limited,825525.72261
501.0,MEDPLUS,Medplus Health Services Limited,822234.924332
502.0,MAHSCOOTER,Maharashtra Scooters Limited,819468.325588
503.0,NEULANDLAB,Neuland Laboratories Limited,811124.8274135
504.0,AZAD,Azad Engineering Limited,808577.0747505
505.0,ESABINDIA,Esab India Limited,808449.10691
506.0,GALAXYSURF,Galaxy Surfactants Limited,805266.0548
507.0,ZENTEC,Zen Technologies Limited,803883.3469
508.0,JSWHL,JSW Holdings Limited,800532.7040625
509.0,TV18BRDCST,TV18 Broadcast Limited,795463.114704
510.0,HOMEFIRST,Home First Finance Company India Limited,794698.147326
511.0,MHRIL,Mahindra Holidays & Resorts India Limited,792126.83055
512.0,POWERMECH,Power Mech Projects Limited,792067.15533
513.0,KTKBANK,The Karnataka Bank Limited,789691.85824
514.0,JLHL,Jupiter Life Line Hospitals Limited,784497.45323
515.0,MASTEK,Mastek Limited,784123.90343
516.0,PGHL,Procter & Gamble Health Limited,781814.2928180001
517.0,THOMASCOOK,Thomas Cook  (India)  Limited,780831.73292
518.0,CCL,CCL Products (India) Limited,779942.69496
519.0,GSFC,Gujarat State Fertilizers & Chemicals Limited,779621.287445
520.0,RAJESHEXPO,Rajesh Exports Limited,778157.6219445
521.0,QUESS,Quess Corp Limited,772842.834336
522.0,VARROC,Varroc Engineering Limited,769814.2764
523.0,TMB,Tamilnad Mercantile Bank Limited,768954.6606239999
524.0,MANINFRA,Man Infraconstruction Limited,758650.2026175
525.0,EASEMYTRIP,Easy Trip Planners Limited,758433.384504
526.0,VIPIND,VIP Industries Limited,745907.75342
527.0,IONEXCHANG,ION Exchange (India) Limited,743086.278235
528.0,RESPONIND,Responsive Industries Limited,740371.926688
529.0,MIDHANI,Mishra Dhatu Nigam Limited,738587.95
530.0,EMIL,Electronics Mart India Limited,736986.253611
531.0,GAEL,Gujarat Ambuja Exports Limited,733185.05001
532.0,BALRAMCHIN,Balrampur Chini Mills Limited,730231.3922775
533.0,STAR,Strides Pharma Science Limited,721137.055758
534.0,JUBLINGREA,Jubilant Ingrevia Limited,721065.7162530001
535.0,SARDAEN,Sarda Energy & Minerals Limited,714805.406195
536.0,JMFINANCIL,JM Financial Limited,713812.98618
537.0,SOUTHBANK,The South Indian Bank Limited,712839.9093925
538.0,HEG,HEG Limited,711720.428393
539.0,CHEMPLASTS,Chemplast Sanmar Limited,711493.083
540.0,ARVIND,Arvind Limited,707579.616933
541.0,RCF,Rashtriya Chemicals and Fertilizers Limited,707539.98825
542.0,NAVA,NAVA LIMITED,704681.2484469999
543.0,ALLCARGO,Allcargo Logistics Limited,703671.9807360001
544.0,ICIL,Indo Count Industries Limited,701310.41794
545.0,IWEL,Inox Wind Energy Limited,699512.2073125
546.0,KNRCON,KNR Constructions Limited,692680.8198
547.0,FDC,FDC Limited,691780.0469160001
548.0,RELIGARE,Religare Enterprises Limited,689941.5335775
549.0,GRAVITA,Gravita India Limited,689516.166075
550.0,RUSTOMJEE,Keystone Realtors Limited,688966.6538010001
551.0,MARKSANS,Marksans Pharma Limited,688545.137322
552.0,NIITMTS,NIIT Learning Systems Limited,685828.361052
553.0,AHLUCONT,Ahluwalia Contracts (India) Limited,684210.93784
554.0,JUSTDIAL,Just Dial Limited,682980.9461330001
555.0,TRIVENI,Triveni Engineering & Industries Limited,680991.578448
556.0,TVSSCS,TVS Supply Chain Solutions Limited,679605.9082480001
557.0,GARFIBRES,Garware Technical Fibres Limited,677604.6865035
558.0,VESUVIUS,Vesuvius India Limited,673200.67752
559.0,SAREGAMA,Saregama India Limited,669723.763515
560.0,DBL,Dilip Buildcon Limited,668056.202499
561.0,INDIASHLTR,India Shelter Finance Corporation Limited,667784.986368
562.0,BLUEJET,Blue Jet Healthcare Limited,664199.112325
563.0,BALAMINES,Balaji Amines Limited,662681.4525
564.0,ISGEC,Isgec Heavy Engineering Limited,660221.47029
565.0,AVANTIFEED,Avanti Feeds Limited,659769.463275
566.0,INDIACEM,The India Cements Limited,658221.654924
567.0,BECTORFOOD,Mrs. Bectors Food Specialities Limited,655638.382678
568.0,CAMPUS,Campus Activewear Limited,654773.628795
569.0,LTFOODS,LT Foods Limited,651620.149416
570.0,VIJAYA,Vijaya Diagnostic Centre Limited,651532.6816380001
571.0,GOCOLORS,Go Fashion (India) Limited,650916.275168
572.0,BORORENEW,BOROSIL RENEWABLES LIMITED,649751.8746125
573.0,LXCHEM,Laxmi Organic Industries Limited,648636.40632
574.0,GREENLAM,Greenlam Industries Limited,644949.6037305
575.0,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,636364.875825
576.0,CMSINFO,CMS Info Systems Limited,635830.8897915
577.0,KRBL,KRBL Limited,634826.115462
578.0,ETHOSLTD,Ethos Limited,633419.2224035
579.0,TEXRAIL,Texmaco Rail & Engineering Limited,631741.46896
580.0,TCI,Transport Corporation of India Limited,630972.7388
581.0,IBREALEST,Indiabulls Real Estate Limited,628072.5462945
582.0,JINDWORLD,Jindal Worldwide Limited,626826.7704
583.0,EMUDHRA,eMudhra Limited,626801.810283
584.0,PDSL,PDS Limited,624429.4600259999
585.0,GANESHHOUC,Ganesh Housing Corporation Limited,617523.094995
586.0,CSBBANK,CSB Bank Limited,615007.256715
587.0,SHAREINDIA,Share India Securities Limited,612355.170042
588.0,IFBIND,IFB Industries Limited,610192.8083619999
589.0,PRINCEPIPE,Prince Pipes And Fittings Limited,607256.7264075
590.0,VAIBHAVGBL,Vaibhav Global Limited,603365.8749790001
591.0,ARVINDFASN,Arvind Fashions Limited,602431.9431345
592.0,EDELWEISS,Edelweiss Financial Services Limited,599772.270073
593.0,SENCO,Senco Gold Limited,599436.51852
594.0,SPANDANA,Spandana Sphoorty Financial Limited,599290.665542
595.0,INDIGOPNTS,Indigo Paints Limited,598405.3226419999
596.0,GENUSPOWER,Genus Power Infrastructures Limited,593340.069882
597.0,SYMPHONY,Symphony Limited,592920.5535
598.0,HGINFRA,H.G. Infra Engineering Limited,592340.227879
599.0,TIPSINDLTD,TIPS Industries Limited,591597.086835
600.0,SIS,SIS LIMITED,589730.846075
601.0,MSTCLTD,Mstc Limited,585516.8
602.0,NESCO,Nesco Limited,585346.1177
603.0,SANGHVIMOV,Sanghvi Movers Limited,585297.048
604.0,SANDUMA,Sandur Manganese & Iron Ores Limited,582353.567172
605.0,UJJIVAN,Ujjivan Financial Services Limited,580182.1107119999
606.0,ITDCEM,ITD Cementation India Limited,573770.53056
607.0,CYIENTDLM,Cyient DLM Limited,571321.317296
608.0,EPL,EPL Limited,570955.751586
609.0,SUPRAJIT,Suprajit Engineering Limited,570618.9218380001
610.0,SUNTECK,Sunteck Realty Limited,570564.602005
611.0,HEMIPROP,Hemisphere Properties India Limited,569857.5
612.0,MOIL,MOIL Limited,566808.0552405
613.0,TIMETECHNO,Time Technoplast Limited,566528.413269
614.0,ASTRAMICRO,Astra Microwave Products Limited,566299.500216
615.0,TRIL,Transformers And Rectifiers (India) Limited,564054.9447365
616.0,WONDERLA,Wonderla Holidays Limited,562169.0709030001
617.0,ASKAUTOLTD,ASK Automotive Limited,561067.8396
618.0,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,560134.39167
619.0,GMMPFAUDLR,GMM Pfaudler Limited,555626.331416
620.0,SURYAROSNI,Surya Roshni Limited,553012.811736
621.0,VSTIND,VST Industries Limited,551276.544
622.0,PTC,PTC India Limited,550427.4728994999
623.0,JKPAPER,JK Paper Limited,546237.858228
624.0,SANSERA,Sansera Engineering Limited,545690.9943
625.0,CHOICEIN,Choice International Limited,545102.186
626.0,AURIONPRO,Aurionpro Solutions Limited,545065.099225
627.0,PAISALO,Paisalo Digital Limited,544214.65188
628.0,ITDC,India Tourism Development Corporation Limited,541676.6457
629.0,HNDFDS,Hindustan Foods Limited,541359.092925
630.0,PARADEEP,Paradeep Phosphates Limited,540986.996792
631.0,KESORAMIND,Kesoram Industries Limited,531660.568803
632.0,HCC,Hindustan Construction Company Limited,530790.823536
633.0,ORCHPHARMA,Orchid Pharma Limited,529938.5685925
634.0,JAMNAAUTO,Jamna Auto Industries Limited,527599.9816625
635.0,ICRA,ICRA Limited,525422.666871
636.0,RSYSTEMS,R Systems International Limited,522428.01312
637.0,PRUDENT,Prudent Corporate Advisory Services Limited,519550.3173
638.0,MTARTECH,Mtar Technologies Limited,517914.6134625
639.0,UTKARSHBNK,Utkarsh Small Finance Bank Limited,516697.5362
640.0,RAIN,Rain Industries Limited,506872.93825300003
641.0,DYNAMATECH,Dynamatic Technologies Limited,506444.69595300005
642.0,JAICORPLTD,Jai Corp Limited,504744.156185
643.0,RBA,Restaurant Brands Asia Limited,502573.7147625
644.0,GATEWAY,Gateway Distriparks Limited,500892.94559
645.0,PURVA,Puravankara Limited,497421.466385
646.0,GUJALKALI,Gujarat Alkalies and Chemicals Limited,494616.982249
647.0,NAZARA,Nazara Technologies Limited,492286.647346
648.0,RALLIS,Rallis India Limited,487144.56945
649.0,VRLLOG,VRL Logistics Limited,486198.4247325
650.0,GABRIEL,Gabriel India Limited,479555.29369
651.0,DODLA,Dodla Dairy Limited,477815.9011525
652.0,JKIL,J.Kumar Infraprojects Limited,477487.17561300006
653.0,ROLEXRINGS,Rolex Rings Limited,476174.46032
654.0,WABAG,VA Tech Wabag Limited,474792.822566
655.0,PRICOLLTD,Pricol Limited,474606.55321199994
656.0,HCG,Healthcare Global Enterprises Limited,470590.20752949995
657.0,AGI,AGI Greenpac Limited,470026.472965
658.0,DBCORP,D.B.Corp Limited,468917.04959699995
659.0,FUSION,Fusion Micro Finance Limited,467993.1472625
660.0,DHANUKA,Dhanuka Agritech Limited,467565.236754
661.0,MASFIN,MAS Financial Services Limited,466294.55781150004
662.0,SULA,Sula Vineyards Limited,465379.554306
663.0,TDPOWERSYS,TD Power Systems Limited,463356.68966699997
664.0,GALLANTT,Gallantt Ispat Limited,463259.4144
665.0,JAYNECOIND,Jayaswal Neco Industries Limited,461709.665022
666.0,GULFOILLUB,Gulf Oil Lubricants India Limited,461150.73310699995
667.0,SAMHI,Samhi Hotels Limited,460926.67916400003
668.0,TEAMLEASE,Teamlease Services Limited,459568.4734
669.0,KIRLPNU,Kirloskar Pneumatic Company Limited,458549.394345
670.0,EPIGRAL,Epigral Limited,456199.959761
671.0,TIIL,Technocraft Industries (India) Limited,453975.51367699995
672.0,GOPAL,Gopal Snacks Limited,445834.43586
673.0,JTEKTINDIA,Jtekt India Limited,445372.2659745
674.0,HEIDELBERG,HeidelbergCement India Limited,445181.46638199996
675.0,SUNDARMHLD,Sundaram Finance Holdings Limited,443430.35649
676.0,RTNPOWER,RattanIndia Power Limited,443033.73345
677.0,STLTECH,Sterlite Technologies Limited,442220.7219
678.0,JPASSOCIAT,Jaiprakash Associates Limited,440599.91738
679.0,PATELENG,Patel Engineering Limited,440188.202732
680.0,ASHOKA,Ashoka Buildcon Limited,439612.55782199994
681.0,SINDHUTRAD,Sindhu Trade Links Limited,439449.7023
682.0,PGEL,PG Electroplast Limited,432556.1919
683.0,NFL,National Fertilizers Limited,429746.6784
684.0,ENTERO,Entero Healthcare Solutions Limited,429479.2022415
685.0,JSFB,Jana Small Finance Bank Limited,428401.7664
686.0,GOKEX,Gokaldas Exports Limited,428138.896146
687.0,BANCOINDIA,Banco Products (I) Limited,426930.581175
688.0,VMART,V-Mart Retail Limited,425978.6141875
689.0,SHANTIGEAR,Shanthi Gears Limited,425044.1835465
690.0,GHCL,GHCL Limited,424296.567945
691.0,SUDARSCHEM,Sudarshan Chemical Industries Limited,422286.225
692.0,WELENT,Welspun Enterprises Limited,420916.39621
693.0,FEDFINA,Fedbank Financial Services Limited,419032.353514
694.0,NOCIL,NOCIL Limited,416780.908205
695.0,TARC,TARC Limited,412397.1281625
696.0,KKCL,Kewal Kiran Clothing Limited,412149.23728
697.0,ORIENTELEC,Orient Electric Limited,412009.55096900003
698.0,BOROLTD,Borosil Limited,409344.5343875
699.0,KIRLOSIND,Kirloskar Industries Limited,408479.095738
700.0,BALMLAWRIE,Balmer Lawrie & Company Limited,407673.168864
701.0,FCL,Fineotex Chemical Limited,407559.7770255
702.0,GRWRHITECH,Garware Hi-Tech Films Limited,406218.40909
703.0,SHARDAMOTR,Sharda Motor Industries Limited,406193.52906
704.0,PARKHOTELS,Apeejay Surrendra Park Hotels Limited,406051.190138
705.0,MAXESTATES,Max Estates Limited,405944.20689599996
706.0,TI,Tilaknagar Industries Limited,405697.393065
707.0,AMIORG,Ami Organics Limited,403362.706594
708.0,ORIENTCEM,Orient Cement Limited,401133.03208
709.0,SHILPAMED,Shilpa Medicare Limited,399766.141239
710.0,AARTIDRUGS,Aarti Drugs Limited,399273.705
711.0,LGBBROSLTD,LG Balakrishnan & Bros Limited,398966.214944
712.0,AARTIPHARM,Aarti Pharmalabs Limited,394177.821796
713.0,TCIEXP,TCI Express Limited,392607.8751575
714.0,WSTCSTPAPR,West Coast Paper Mills Limited,390415.095188
715.0,ADVENZYMES,Advanced Enzyme Technologies Limited,389650.9893375
716.0,PRIVISCL,Privi Speciality Chemicals Limited,387170.010519
717.0,GREENPANEL,Greenpanel Industries Limited,385969.7257625
718.0,VENUSPIPES,Venus Pipes & Tubes Limited,384103.88175
719.0,BBOX,Black Box Limited,378225.60309
720.0,IIFLSEC,IIFL Securities Limited,378014.5298475
721.0,PILANIINVS,Pilani Investment and Industries Corporation Limited,377071.009875
722.0,ROSSARI,Rossari Biotech Limited,373987.56683699996
723.0,KSL,Kalyani Steels Limited,373779.32625
724.0,DCBBANK,DCB Bank Limited,373380.502866
725.0,IMAGICAA,Imagicaaworld Entertainment Limited,372267.7832175
726.0,BAJAJHIND,Bajaj Hindusthan Sugar Limited,371073.063151
727.0,DCAL,Dishman Carbogen Amcis Limited,369302.5802725
728.0,HARSHA,Harsha Engineers International Limited,365177.905155
729.0,BBL,Bharat Bijlee Limited,362612.56694
730.0,YATHARTH,Yatharth Hospital & Trauma Care Services Limited,360828.529299
731.0,ORISSAMINE,The Orissa Minerals Development Company Limited,354789
732.0,THANGAMAYL,Thangamayil Jewellery Limited,353361.55399199994
733.0,ZAGGLE,Zaggle Prepaid Ocean Services Limited,352504.61485400004
734.0,BHARATRAS,Bharat Rasayan Limited,352381.269838
735.0,KOLTEPATIL,Kolte - Patil Developers Limited,352014.4202835
736.0,KSCL,Kaveri Seed Company Limited,348588.72107150004
737.0,MEDIASSIST,Medi Assist Healthcare Services Limited,348186.605478
738.0,INOXGREEN,Inox Green Energy Services Limited,348069.913
739.0,HATHWAY,Hathway Cable & Datacom Limited,346940.482
740.0,SSWL,Steel Strips Wheels Limited,346656.878925
741.0,UNICHEMLAB,Unichem Laboratories Limited,346431.492875
742.0,CIGNITITEC,Cigniti Technologies Limited,345578.113314
743.0,IMFA,Indian Metals & Ferro Alloys Limited,345090.461976
744.0,ASHAPURMIN,Ashapura Minechem Limited,343941.985431
745.0,HGS,Hinduja Global Solutions Limited,343598.82501
746.0,MUTHOOTMF,Muthoot Microfin Limited,340558.12156
747.0,SUBROS,Subros Limited,336322.909125
748.0,RAMKY,Ramky Infrastructure Limited,336162.868678
749.0,SUNFLAG,Sunflag Iron And Steel Company Limited,335478.502452
750.0,CARERATING,CARE Ratings Limited,334083.956122
751.0,GENSOL,Gensol Engineering Limited,333754.9048125
752.0,SKIPPER,Skipper Limited,332035.465608
753.0,LAOPALA,La Opala RG Limited,330613.5
754.0,LUMAXTECH,Lumax Auto Technologies Limited,329338.03056
755.0,DCXINDIA,DCX Systems Limited,327698.868234
756.0,BOMDYEING,Bombay Dyeing & Mfg Company Limited,326841.47925
757.0,HIKAL,Hikal Limited,326808.637875
758.0,JISLJALEQS,Jain Irrigation Systems Limited,326391.637329
759.0,CUPID,Cupid Limited,325132.1848935
760.0,AVALON,Avalon Technologies Limited,324318.75086
761.0,LUXIND,Lux Industries Limited,323075.1048235
762.0,NUCLEUS,Nucleus Software Exports Limited,317237.116076
763.0,TASTYBITE,Tasty Bite Eatables Limited,317232.014
764.0,SOTL,Savita Oil Technologies Limited,317032.70402
765.0,ARVSMART,Arvind SmartSpaces Limited,316186.989462
766.0,SANDHAR,Sandhar Technologies Limited,316031.312354
767.0,SALASAR,Salasar Techno Engineering Limited,315705.28
768.0,NEOGEN,Neogen Chemicals Limited,315577.584388
769.0,DATAMATICS,Datamatics Global Services Limited,314373.47184
770.0,JTLIND,JTL INDUSTRIES LIMITED,313565.8919
771.0,ANUP,The Anup Engineering Limited,313553.996325
772.0,HERITGFOOD,Heritage Foods Limited,313511.286
773.0,THYROCARE,Thyrocare Technologies Limited,312394.312062
774.0,VADILALIND,Vadilal Industries Limited,312206.989965
775.0,NAVNETEDUL,Navneet Education Limited,311608.6568275
776.0,DISHTV,Dish TV India Limited,308410.389045
777.0,KDDL,KDDL Limited,307441.4516325
778.0,KALAMANDIR,Sai Silks (Kalamandir) Limited,307345.688448
779.0,LANDMARK,Landmark Cars Limited,303092.68988
780.0,INDOCO,Indoco Remedies Limited,302852.1417075
781.0,BAJAJCON,Bajaj Consumer Care Limited,302472.47338650003
782.0,TVSSRICHAK,TVS Srichakra Limited,299222.1999
783.0,CARTRADE,Cartrade Tech Limited,299167.71636849997
784.0,SBCL,Shivalik Bimetal Controls Limited,299167.4127
785.0,FIEMIND,Fiem Industries Limited,298135.94865
786.0,PRAKASH,Prakash Industries Limited,297723.5573375
787.0,DELTACORP,Delta Corp Limited,296288.7188305
788.0,RAJRATAN,Rajratan Global Wire Limited,294928.739
789.0,IDEAFORGE,Ideaforge Technology Limited,294900.916733
790.0,MAHLOG,Mahindra Logistics Limited,294519.8033635
791.0,PFOCUS,Prime Focus Limited,294451.368408
792.0,GREAVESCOT,Greaves Cotton Limited,293711.960754
793.0,DOLLAR,Dollar Industries Limited,291974.58576
794.0,UFLEX,UFLEX Limited,291878.826412
795.0,UNITECH,Unitech Limited,291717.5667405
796.0,BFUTILITIE,BF Utilities Limited,290794.08816
797.0,SHARDACROP,Sharda Cropchem Limited,289743.1196925
798.0,BANARISUG,Bannari Amman Sugars Limited,288751.6719
799.0,SEQUENT,Sequent Scientific Limited,288095.686725
800.0,GREENPLY,Greenply Industries Limited,285991.26724
801.0,MAITHANALL,Maithan Alloys Limited,285409.6362
802.0,SHK,S H Kelkar and Company Limited,284454.746055
803.0,SUNCLAY,Sundaram Clayton Limited,284008.1599
804.0,GUFICBIO,Gufic Biosciences Limited,283283.95445
805.0,BLSE,BLS E-Services Limited,281655.1035
806.0,DIACABS,Diamond Power Infrastructure Limited,280533.043791
807.0,ESAFSFB,ESAF Small Finance Bank Limited,280297.632681
808.0,VSTTILLERS,V.S.T Tillers Tractors Limited,279907.747908
809.0,HLEGLAS,HLE Glascoat Limited,278727.95484
810.0,BCG,Brightcom Group Limited,278473.218474
811.0,GOODLUCK,Goodluck India Limited,277958.155932
812.0,SWARAJENG,Swaraj Engines Limited,277333.978905
813.0,SEAMECLTD,Seamec Limited,276776.55
814.0,SMLISUZU,SML Isuzu Limited,276155.184795
815.0,ASHIANA,Ashiana Housing Limited,275387.8457515
816.0,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,275315.0391545
817.0,HINDWAREAP,Hindware Home Innovation Limited,272340.519965
818.0,SAGCEM,Sagar Cements Limited,272263.822484
819.0,SAKSOFT,Saksoft Limited,271517.9805
820.0,APOLLO,Apollo Micro Systems Limited,269087.99358
821.0,SUPRIYA,Supriya Lifescience Limited,267967.4826
822.0,AUTOAXLES,Automotive Axles Limited,265585.4046375
823.0,STYLAMIND,Stylam Industries Limited,264745.64526
824.0,FLAIR,Flair Writing Industries Limited,264384.305713
825.0,VINDHYATEL,Vindhya Telelinks Limited,263711.3289075
826.0,CARYSIL,CARYSIL LIMITED,263319.024635
827.0,THEJO,Thejo Engineering Limited,263234.938533
828.0,MPSLTD,MPS Limited,262283.476728
829.0,MARATHON,Marathon Nextgen Realty Limited,262252.897125
830.0,ISMTLTD,ISMT Limited,260684.9497525
831.0,FILATEX,Filatex India Limited,259877.39525
832.0,NRBBEARING,NRB Bearing Limited,259801.0293
833.0,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,259428.224244
834.0,MOLDTKPAC,Mold-Tek Packaging Limited,259202.12081400002
835.0,DREAMFOLKS,Dreamfolks Services Limited,258952.041252
836.0,GMRP&UI,GMR Power and Urban Infra Limited,258640.255248
837.0,SHALBY,Shalby Limited,258251.36007
838.0,INNOVACAP,Innova Captab Limited,257254.6683195
839.0,PFS,PTC India Financial Services Limited,256913.334
840.0,AJMERA,Ajmera Realty & Infra India Limited,256484.6765
841.0,HMAAGRO,HMA Agro Industries Limited,255642.967585
842.0,NILKAMAL,Nilkamal Limited,254540.9701875
843.0,RPGLIFE,RPG Life Sciences Limited,252790.5747675
844.0,TATVA,Tatva Chintan Pharma Chem Limited,252306.70523
845.0,STYRENIX,Styrenix Performance Materials Limited,251659.0865625
846.0,QUICKHEAL,Quick Heal Technologies Limited,251153.60697
847.0,ACCELYA,Accelya Solutions India Limited,250798.5004525
848.0,REPCOHOME,Repco Home Finance Limited,250683.37753400003
849.0,PCJEWELLER,PC Jeweller Limited,250387.296048
850.0,APOLLOPIPE,Apollo Pipes Limited,250247.036954
851.0,GANECOS,Ganesha Ecosphere Limited,249667.7924
852.0,PARAGMILK,Parag Milk Foods Limited,248182.37343900002
853.0,BAJEL,Bajel Projects Limited,248090.634304
854.0,PSPPROJECT,PSP Projects Limited,247644
855.0,GIPCL,Gujarat Industries Power Company Limited,246615.062034
856.0,XPROINDIA,Xpro India Limited,246203.915958
857.0,PITTIENG,Pitti Engineering Limited,245247.11268400002
858.0,SHAKTIPUMP,Shakti Pumps (India) Limited,245117.76041599998
859.0,TIDEWATER,Tide Water Oil Company (India) Limited,243500.4
860.0,SHAILY,Shaily Engineering Plastics Limited,243074.869245
861.0,EVEREADY,Eveready Industries India Limited,242920.82292
862.0,CONFIPET,Confidence Petroleum India Limited,241161.65853150003
863.0,POLYPLEX,Polyplex Corporation Limited,240372.08153400003
864.0,TAJGVK,Taj GVK Hotels & Resorts Limited,240052.6736075
865.0,TIRUMALCHM,Thirumalai Chemicals Limited,239537.00674
866.0,SPECTRUM,Spectrum Electrical Industries Limited,239264.63129
867.0,PARAS,Paras Defence and Space Technologies Limited,238602.373198
868.0,EXICOM,Exicom Tele-Systems Limited,238447.15272349998
869.0,PGIL,Pearl Global Industries Limited,238344.41639099998
870.0,MANORAMA,Manorama Industries Limited,237412.815675
871.0,SOMANYCERA,Somany Ceramics Limited,236734.40007
872.0,KINGFA,Kingfa Science & Technology (India) Limited,236711.070706
873.0,FINOPB,Fino Payments Bank Limited,236578.260586
874.0,UNIPARTS,Uniparts India Limited,236455.758162
875.0,INDOSTAR,IndoStar Capital Finance Limited,236053.66125150002
876.0,DIVGIITTS,Divgi Torqtransfer Systems Limited,235457.95497299999
877.0,HINDOILEXP,Hindustan Oil Exploration Company Limited,235086.9711
878.0,SEPC,SEPC Limited,234685.7907885
879.0,INDIAGLYCO,India Glycols Limited,234394.03575
880.0,IPL,India Pesticides Limited,234012.248256
881.0,GENESYS,Genesys International Corporation Limited,233863.07979299998
882.0,SANGHIIND,Sanghi Industries Limited,233397.541
883.0,BSHSL,Bombay Super Hybrid Seeds Limited,233380.51072
884.0,SATIN,Satin Creditcare Network Limited,232154.7329475
885.0,AXISCADES,AXISCADES Technologies Limited,231107.4141545
886.0,ARTEMISMED,Artemis Medicare Services Limited,230759.05925
887.0,SASKEN,Sasken Technologies Limited,230632.18553599998
888.0,EIHAHOTELS,EIH Associated Hotels Limited,230506.7661285
889.0,DHANI,Dhani Services Limited,229530.2854895
890.0,PRECWIRE,Precision Wires India Limited,229039.52395
891.0,VIDHIING,Vidhi Specialty Food Ingredients Limited,228448.43
892.0,APCOTEXIND,Apcotex Industries Limited,227158.69224
893.0,HUHTAMAKI,Huhtamaki India Limited,225923.86556099998
894.0,LUMAXIND,Lumax Industries Limited,225439.25264400002
895.0,GOCLCORP,GOCL Corporation Limited,225356.53954
896.0,WENDT,Wendt (India) Limited,224676
897.0,DEN,Den Networks Limited,224533.8190725
898.0,YATRA,Yatra Online Limited,224468.61408650002
899.0,HONDAPOWER,Honda India Power Products Limited,224450.94662349997
900.0,KCP,KCP Limited,224064.97608
901.0,EMSLIMITED,EMS Limited,223455.96736799998
902.0,JAGRAN,Jagran Prakashan Limited,223422.110208
